Time,Boom Cmd,Stick Cmd,Bucket Cmd,Swing Cmd,Boom Ms,Stick Ms,Bucket Ms,Swing Ms
17.8998889923,7.4745,6.9645,7.614,7.4695,8.275,3.56592592593,4.24615384615,1.26743628618
24.8887760639,7.4745,6.9645,7.614,7.4695,7.09003225806,5.08538461538,10.1721428571,1.26743628618
30.6944139004,7.4745,6.9645,7.614,7.4695,9.146,5.08538461538,10.5781111111,1.26743628618
41.1711750031,7.4745,6.9645,7.614,7.4695,9.95142857143,6.4696,10.5781111111,-0.00981747704247
46.014893055,7.4745,6.9645,7.614,7.4695,9.99357142857,6.4696,4.593,-0.00981747704247
52.3021099567,7.4745,6.9645,7.614,7.4695,9.95142857143,4.82923076923,4.547,1.31946891451
56.9502699375,7.4745,6.9645,7.614,7.4695,7.52312903226,4.80076923077,4.547,1.31946891451
61.6614770889,7.4745,6.9645,7.614,7.4695,7.55406451613,8.1984375,9.44242857143,1.35481183186
68.1906540394,7.4745,6.9645,7.614,7.4695,9.825,8.231875,10.2583333333,1.35481183186
72.6300709248,7.4745,6.9645,7.614,7.4695,9.86714285714,8.231875,10.2583333333,-0.0235619449019
77.4595119953,7.4745,6.9645,7.614,7.4695,9.86714285714,8.231875,3.50508510638,-0.0235619449019
86.2649478912,7.4745,6.9645,7.614,7.4695,8.2405,5.02846153846,3.52553191489,1.07403198845
93.854352951,7.4745,6.9645,7.614,7.4695,7.6195,9.99925925926,9.00552631579,1.10152092416
97.728345871,7.4745,6.9645,7.614,7.4695,11.0616666667,10.0351851852,9.79557142857,1.10152092416
103.593848944,7.4745,6.45773703003,7.614,8.02752590942,11.0616666667,8.1984375,10.3807777778,-0.0608683576633
108.23973608,7.4745,6.9645,7.614,7.4695,11.02,8.1315625,4.17576923077,-0.0608683576633
117.411978006,7.4745,6.9645,7.614,7.4695,7.8955,5.11384615385,4.17576923077,1.56588758827
122.11796689,7.4745,6.9645,7.614,7.4695,7.8955,9.1136,9.56014285714,1.56588758827
127.215146065,7.4745,6.9645,7.614,7.4695,10.6977777778,9.1136,10.0564285714,1.56588758827
130.770004988,7.4745,6.9645,7.614,7.4695,10.7338888889,9.1136,10.0853571429,0.0402516558741
135.313153028,7.4745,6.9645,7.614,7.4695,10.7338888889,9.1136,3.30061702128,0.0402516558741
144.735450029,7.4745,6.9645,7.614,7.4695,7.39938709677,4.19413793103,3.25972340426,1.46673107014
150.847485065,7.4745,6.9645,7.614,7.4695,7.43032258065,8.2653125,9.64842857143,1.46673107014
154.312630892,9.12464871216,6.9645,7.614,7.4695,10.5172222222,8.29875,10.3478888889,1.46673107014
158.801114082,7.4745,6.9645,7.614,7.4695,10.6616666667,7.374,10.3478888889,0.00196349540849
163.044672966,7.4745,6.9645,7.614,7.4695,10.6977777778,7.374,4.455,0.00196349540849
170.476666927,7.4745,6.9645,7.614,7.4695,8.0335,7.374,4.455,1.28216250175
175.987392902,7.4745,6.9645,7.614,7.4695,8.0335,11.81,8.70331578947,1.28216250175
179.556945086,7.4745,6.9645,7.614,7.4695,11.1033333333,11.81,8.67813157895,1.28216250175
184.704086065,7.4745,6.9645,7.614,7.4695,11.1033333333,9.4896,9.32471428571,-0.0569413668463
189.243932962,7.4745,6.9645,7.614,7.4695,11.1033333333,9.452,2.5293125,-0.0569413668463
193.985404015,7.4745,6.9645,7.614,7.4695,11.1033333333,6.8908,2.5293125,1.66111711559
196.534487009,6.45381578064,6.9645,7.614,7.4695,8.137,6.8584,2.5293125,1.66111711559
202.407595873,7.4745,6.9645,7.614,7.4695,7.9645,10.81,9.29528571429,1.66111711559
205.916375875,7.4745,6.9645,7.614,7.4695,11.0616666667,10.85,9.26585714286,1.66111711559
211.627119064,7.4745,6.9645,7.614,7.4695,11.0616666667,7.76375,9.29528571429,-0.0274889357189
215.350075006,7.4745,6.9645,7.614,7.4695,11.02,7.76375,4.19923076923,-0.0274889357189
341.289753914,7.4745,6.9645,7.614,7.4695,9.95142857143,5.25615384615,4.19923076923,1.38230076758
343.580585003,7.4745,6.9645,7.614,7.4695,7.8955,5.25615384615,4.19923076923,1.38230076758
347.80617094,7.4745,6.9645,7.614,7.4695,7.8955,6.664,10.2866666667,1.38230076758
351.418519974,7.4745,6.9645,7.614,7.4695,10.4811111111,6.664,10.315,1.38230076758
355.595571041,7.4745,6.9645,7.614,7.4695,10.4811111111,6.6964,10.315,0.0255254403104
359.849494934,7.4745,6.9645,7.614,7.4695,10.445,6.6964,4.731,0.0255254403104
365.080887079,7.4745,6.9645,7.614,7.4695,9.65642857143,4.97153846154,4.754,1.11428364432
369.505701065,7.4745,6.9645,7.614,7.4695,7.24470967742,3.94896551724,4.754,1.15355355249
375.609492064,7.4745,6.9645,7.614,7.4695,7.27564516129,7.7303125,9.73671428571,1.23994735046
382.041851044,7.4745,6.9645,7.614,7.4695,10.2644444444,7.7303125,10.2866666667,1.23994735046
385.645004034,7.4745,6.9645,7.614,7.4695,10.2283333333,7.696875,10.2866666667,-0.0451603943954
390.131905079,7.4745,6.9645,7.614,7.4695,10.2283333333,7.696875,3.89423076923,0.00196349540849
400.697052956,7.4745,6.9645,7.614,7.4695,10.2283333333,7.7303125,3.91769230769,0.00196349540849
404.604844093,7.4745,6.9645,7.614,7.4695,10.2283333333,5.54636363636,3.89423076923,1.51974544617
407.216943026,7.4745,6.9645,7.614,7.4695,8.068,5.54636363636,3.89423076923,1.51974544617
412.927450895,7.4745,6.9645,7.614,7.4695,8.0335,8.499375,9.79557142857,1.51974544617
416.390498877,7.4745,6.9645,7.614,7.4695,10.5894444444,8.499375,10.3478888889,1.51974544617
419.39073801,7.4745,6.9645,7.614,7.4695,10.5894444444,8.499375,10.3807777778,0.00981747704247
424.082467079,7.4745,6.9645,7.614,7.4695,10.5894444444,8.499375,3.70955319149,0.00981747704247
433.052670956,7.4745,6.9645,7.614,7.4695,9.69857142857,4.19413793103,3.68910638298,1.42746116197
440.193470955,7.4745,6.9645,7.614,7.4695,7.55406451613,8.231875,9.35414285714,1.42746116197
444.169636965,7.4745,6.9645,7.614,7.4695,10.5894444444,8.29875,9.79557142857,1.42746116197
449.985390902,7.4745,6.9645,7.614,7.4695,10.5533333333,8.29875,10.1142857143,-0.0127627201552
454.370145082,7.4745,6.9645,7.614,7.4695,10.5894444444,8.231875,3.62776595745,0.00589048622548
461.293175936,7.4745,6.9645,7.614,7.4695,7.93,5.28461538462,3.64821276596,1.75143790438
466.386388063,7.4745,6.9645,7.614,7.4695,7.9645,9.5272,9.413,1.75143790438
470.413793087,7.4745,6.9645,7.614,7.4695,11.0616666667,9.5648,10.315,1.75143790438
475.159404039,7.4745,6.9645,7.614,7.4695,11.0616666667,8.1315625,10.2866666667,0.0373064127614
479.500528097,7.4745,6.9645,7.614,7.4695,11.0616666667,8.1315625,4.34,0.0373064127614
483.729983091,7.4745,6.9645,7.614,7.4695,11.1033333333,7.214,4.34,1.35383008416
489.184736013,7.4745,6.9645,7.614,7.4695,7.93,8.098125,4.34,1.35481183186
492.957894087,7.4745,6.9645,7.614,7.4695,7.93,10.61,9.05589473684,1.43727863902
496.525073051,7.4745,6.9645,7.614,7.4695,10.6616666667,10.65,10.0275,1.43727863902
500.602014065,7.4745,6.11502909851,7.614,8.4019886322,10.6616666667,8.5328125,10.0275,-0.10406525665
504.940226078,7.4745,6.9645,7.614,7.4695,10.6616666667,8.365625,3.73,0.0304341788317
