Time,Boom Cmd,Stick Cmd,Bucket Cmd,Swing Cmd,Boom Ctrl,Stick Ctrl,Bucket Ctrl,Swing Ctrl,Boom Blended,Stick Blended,Bucket Blended,Swing Blended,Boom Ms,Stick Ms,Bucket Ms,Swing Ms,SG0,SG1,SG2,SG3,SG4,SG5,Subgoal,Alpha
0.836688041687,0.0,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0
0.867827892303,0.0,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0
0.89968585968,0.0,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0
0.931746959686,0.0,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0
0.963501930237,0.0,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0
0.99534702301,0.0,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0
1.06038594246,0.434265136719,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.434265136719,0.0,0.0,0.0,7.05647025508,5.0,4.0,0.0,0.136668849873,0.179466615235,0.14554401878,0.179460969622,0.179469674008,0.179389872481,-1,0
1.11847496033,0.795837402344,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.795837402344,0.0,0.0,0.0,7.1488877174,5.0,4.0,0.0,0.134279309045,0.180553488591,0.143603217215,0.180546552828,0.180557254251,0.18046017807,-1,0
1.17974495888,0.999969482422,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.999969482422,0.0,0.0,0.0,7.27135388195,5.0,4.0,0.0,0.130118641637,0.182462397475,0.140163862034,0.182452744236,0.18246765656,0.182334698058,-1,0
1.24355792999,0.999969482422,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.999969482422,0.0,0.0,0.0,7.39880236592,5.0,4.0,0.0,0.124137984617,0.185241342461,0.135094597669,0.185226559694,0.185249432809,0.18505008275,-1,0
1.30081295967,0.999969482422,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.999969482422,0.0,0.0,0.0,7.51336328848,5.0,4.0,0.0,0.11737845724,0.188429894514,0.12919923669,0.188407192141,0.188442378018,0.188142841396,-1,0
1.35850000381,0.999969482422,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.999969482422,0.0,0.0,0.0,7.62865374963,5.0,4.0,0.0,0.110878696118,0.19154238704,0.123374841149,0.19150942401,0.191560589828,0.191134061854,-1,0
1.41675186157,0.999969482422,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.999969482422,0.0,0.0,0.0,7.74512243945,5.0,4.0,0.0,0.10398709901,0.194891952529,0.117041316987,0.194844561879,0.194918234632,0.194316834963,-1,0
1.47717404366,0.999969482422,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.999969482422,0.0,0.0,0.0,7.86590875796,5.0,4.0,0.0,0.0967361432574,0.198471898665,0.110208981031,0.198404368801,0.198509511695,0.19766909655,-1,0
1.53498387337,0.999969482422,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.999969482422,0.0,0.0,0.0,7.98144525957,5.0,4.0,0.0,0.0889969639786,0.202358321739,0.102731602744,0.202262132039,0.202412138166,0.201238841334,-1,0
1.59300494194,0.967956542969,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.967956542969,0.0,0.0,0.0,8.09352299526,5.0,4.0,0.0,0.0814793604461,0.206202312704,0.0952887157574,0.206069134908,0.206277142893,0.204683333292,-1,0
1.65734887123,0.922058105469,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.922058105469,0.0,0.0,0.0,8.21231917488,5.0,4.0,0.0,0.0741737311342,0.210008856168,0.0878870923126,0.209828480723,0.210110627378,0.207991212285,-1,0
1.71583199501,0.879577636719,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.879577636719,0.0,0.0,0.0,8.31515057948,5.0,4.0,0.0,0.0665205285446,0.214080623904,0.0799537625944,0.213835122008,0.214219751185,0.211390211764,-1,0
1.77477788925,0.843078613281,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.843078613281,0.0,0.0,0.0,8.41449398168,5.0,4.0,0.0,0.0600538757151,0.217598072418,0.0731043248259,0.217281018345,0.21777843378,0.214184274916,-1,0
1.83303308487,0.798156738281,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.798156738281,0.0,0.0,0.0,8.50725423337,5.0,4.0,0.0,0.0540127532294,0.220958598564,0.0665808529329,0.220556615518,0.221188115167,0.216703064589,-1,0
1.89191889763,0.748962402344,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.748962402344,0.0,0.0,0.0,8.59553325096,5.0,4.0,0.0,0.0486046029927,0.22403920025,0.0606344828045,0.223541799143,0.224324172872,0.218855741939,-1,0
1.95227694511,0.688537597656,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.688537597656,0.0,0.0,0.0,8.67860387119,5.0,4.0,0.0,0.0437035008694,0.226901375542,0.0551545017403,0.226296868202,0.227248844197,0.220694909449,-1,0
2.01130390167,0.599304199219,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.599304199219,0.0,0.0,0.0,8.74932778616,5.0,4.0,0.0,0.0393365353593,0.229519487326,0.0501946570717,0.228798117419,0.229935403465,0.222215799358,-1,0
2.07495808601,0.483459472656,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.483459472656,0.0,0.0,0.0,8.81085178662,5.0,4.0,0.0,0.0358204254569,0.231683348639,0.0461452392471,0.230849119122,0.232165594517,0.223336273019,-1,0
2.10627698898,0.0,0.0,-0.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,8.81085178662,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0
2.16552996635,0.0,0.0,0.313049316406,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.313049316406,0.0,8.81085178662,5.0,4.03707566782,0.0,0.224900867676,0.104183711314,0.109267191725,0.22490087179,0.224900871905,0.111846485589,-1,0
2.22410988808,0.0,0.0,0.501190185547,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.501190185547,0.0,8.81085178662,5.0,4.09575798865,0.0,0.227161744777,0.101891837901,0.107010760433,0.227161749895,0.227161750041,0.109612156954,-1,0
2.28666305542,0.0,0.0,0.692840576172,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.692840576172,0.0,8.81085178662,5.0,4.18237264146,0.0,0.230818749461,0.0981968515398,0.103358575255,0.230818756676,0.230818756887,0.105988310181,-1,0
2.34554100037,0.0,0.0,0.900115966797,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.900115966797,0.0,8.81085178662,5.0,4.28834170403,0.0,0.236374668848,0.0926107521979,0.0978046421029,0.236374680752,0.236374681113,0.100460574986,-1,0
2.40414500237,0.0,0.0,1.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,8.81085178662,5.0,4.40547198357,0.0,0.243383015574,0.0856091744595,0.0907901854294,0.243383037322,0.243383038011,0.0934515492045,-1,0
2.46870493889,0.0,0.0,1.0,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,8.81085178662,5.0,4.53453797402,0.0,0.25131619261,0.0777406277561,0.082839265983,0.251316234396,0.251316235785,0.0854714434698,-1,0
2.52871108055,0.0,0.0,0.807830810547,-0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.807830810547,0.0,8.81085178662,5.0,4.63145985946,0.0,0.260153397668,0.0690430240971,0.0739696076684,0.260153482081,0.260153485039,0.0765270034464,-1,0
2.5876390934,0.351867675781,0.0,0.624114990234,-0.0,-1.0,-1.0,-1.0,0.0,0.351867675781,0.0,0.624114990234,0.0,8.85230607637,5.0,4.70498819248,0.0,0.0523072270904,0.0855149651897,0.0204421627299,0.369534423096,0.371901174151,0.100300047743,-1,0
2.65268993378,0.507385253906,0.0,0.505096435547,-0.0,-1.0,-1.0,-1.0,0.0,0.507385253906,0.0,0.505096435547,0.0,8.9181900063,5.0,4.77057491954,0.0,0.0502290675594,0.0791241876732,0.0181612718619,0.378029947793,0.380643438112,0.0938120870003,-1,0
2.71055388451,0.743103027344,0.0,0.461395263672,-0.0,-1.0,-1.0,-1.0,0.0,0.743103027344,0.0,0.461395263672,0.0,9.00424587184,5.0,4.82400730686,0.0,0.0463304796198,0.0736115893957,0.0156890649408,0.386443544884,0.389451591457,0.0884737297028,-1,0
2.76918101311,0.956970214844,0.0,0.471527099609,-0.0,-1.0,-1.0,-1.0,0.0,0.956970214844,0.0,0.471527099609,0.0,9.1164369071,5.0,4.87928709785,0.0,0.0411404001559,0.0692404980669,0.0132865513558,0.394082043616,0.397644745608,0.0846057611973,-1,0
2.8274769783,0.999969482422,0.0,0.541717529297,-0.0,-1.0,-1.0,-1.0,0.0,0.999969482422,0.0,0.541717529297,0.0,9.23296901432,5.0,4.94241650961,0.0,0.0348175202733,0.0647336907044,0.0107527148225,0.402187308534,0.406568451375,0.0809403142911,-1,0
2.88840699196,0.999969482422,0.0,0.657684326172,-0.0,-1.0,-1.0,-1.0,0.0,0.999969482422,0.0,0.657684326172,0.0,9.3547733491,5.0,5.02252775626,0.0,0.029024383143,0.0595550118408,0.00847854753577,0.410481898114,0.415854698537,0.0766054608296,-1,0
