Time,Boom Cmd,Stick Cmd,Bucket Cmd,Swing Cmd,Boom Ms,Stick Ms,Bucket Ms,Swing Ms
0.0060658454895,7.4745,6.9645,7.614,7.4695,11.02,10.5381481481,2.35205128205,0.0
0.0776309967041,7.4745,6.9645,7.614,7.4695,10.9844444444,10.5740740741,2.35205128205,0.0
0.122278928757,7.4745,6.9645,7.614,7.4695,10.9844444444,10.5381481481,2.35205128205,0.0
0.197200775146,7.4745,6.9645,7.614,7.4695,11.02,10.5740740741,2.35205128205,0.0
0.290015935898,7.4745,6.9645,7.614,7.4695,11.02,10.5740740741,2.35205128205,0.0
0.409790992737,7.4745,6.9645,7.614,7.4695,10.9844444444,10.5381481481,2.35205128205,0.0
0.488165855408,7.4745,6.9645,7.614,7.4695,11.02,10.5740740741,2.35205128205,0.0
0.526874780655,7.4745,6.9645,7.614,7.4695,11.0555555556,10.5381481481,2.37102564103,0.0
0.565442800522,7.4745,6.9645,7.614,7.4695,11.02,10.5381481481,2.35205128205,0.0
0.606414794922,7.4745,6.9645,7.614,7.4695,10.9844444444,10.5740740741,2.35205128205,0.0
0.644548892975,7.4745,6.9645,7.614,7.4695,10.9844444444,10.5740740741,2.35205128205,0.0
0.677317857742,7.4745,6.9645,7.614,7.4695,11.0555555556,10.5740740741,2.33307692308,0.0
0.712996006012,7.4745,6.9645,7.614,7.4695,11.02,10.5740740741,2.35205128205,0.0
0.74324798584,7.4745,6.9645,7.614,7.4695,11.02,10.5740740741,2.35205128205,0.0
0.789734840393,7.4745,6.9645,7.614,7.4695,11.02,10.5381481481,2.35205128205,0.0
0.822180986404,7.4745,6.9645,7.614,7.4695,11.02,10.5381481481,2.33307692308,0.0
0.866057872772,7.4745,6.9645,7.614,7.4695,11.02,10.5740740741,2.35205128205,0.0
0.90099978447,7.4745,6.9645,7.614,7.4695,11.02,10.5381481481,2.33307692308,0.0
0.948171854019,7.4745,6.9645,7.614,7.4695,10.9844444444,10.5740740741,2.35205128205,0.0
0.998247861862,7.4745,6.9645,7.614,7.4695,11.02,10.5022222222,2.33307692308,0.0
1.06068587303,7.4745,6.9645,7.614,7.4695,11.02,10.5381481481,2.37102564103,0.0
1.11243081093,7.4745,6.9645,7.614,7.4695,10.9844444444,10.5381481481,2.37102564103,0.0
1.16199398041,7.4745,6.9645,7.614,7.4695,11.02,10.5740740741,2.35205128205,0.0
1.21394777298,7.4745,6.9645,7.614,8.42144926453,11.02,10.5381481481,2.35205128205,0.0
1.25986194611,7.4745,6.9645,7.614,8.90116929626,11.02,10.5381481481,2.35205128205,0.0
1.31641483307,7.4745,6.9645,7.614,9.3904651947,11.02,10.5740740741,2.33307692308,0.0137444678595
1.37509894371,7.4745,6.515134552,7.614,9.626463974,11.02,10.5381481481,2.35205128205,0.0363246650571
1.42253088951,7.4745,6.50991659546,7.614,9.62677287292,10.9844444444,10.5740740741,2.33307692308,0.0647953484803
1.47553777695,7.4745,6.50519558716,7.614,9.61040122986,11.02,10.5740740741,2.33307692308,0.107010499763
1.5364279747,7.4745,6.49823831177,7.614,9.61071012878,11.02,10.5381481481,2.33307692308,0.139408174003
1.58168983459,7.4745,6.49823831177,7.614,9.61071012878,10.9844444444,10.5381481481,2.35205128205,0.185550316103
1.64056491852,7.4745,6.49823831177,7.614,9.61071012878,11.02,10.5381481481,2.35205128205,0.22874721509
1.69256997108,7.4745,6.49823831177,7.614,9.61071012878,11.02,10.5381481481,2.33307692308,0.268017123259
1.74477291107,7.4745,6.49823831177,7.614,9.61071012878,11.02,10.5740740741,2.35205128205,0.309250526838
1.79867696762,7.4745,6.49823831177,7.614,9.61071012878,11.02,10.5381481481,2.35205128205,0.352447425825
1.85423278809,7.4745,6.49823831177,7.614,9.61071012878,11.02,10.5381481481,2.37102564103,0.393680829403
1.90788888931,7.4745,6.49823831177,7.614,9.61071012878,11.02,10.5381481481,2.35205128205,0.438841223798
1.96303796768,7.4745,6.49823831177,7.614,9.61071012878,10.9844444444,10.5740740741,2.33307692308,0.484001618194
2.02107381821,7.4745,6.4974928894,7.614,9.61101902771,11.02,10.5740740741,2.35205128205,0.522289778659
2.07278490067,7.4745,6.4880508728,7.614,9.61163682556,11.02,10.5740740741,2.35205128205,0.565486677646
2.12585783005,7.4745,6.48506918335,7.614,9.61194572449,10.9844444444,10.5381481481,2.35205128205,0.596902604182
2.16862392426,7.4745,6.48432376099,7.614,9.61194572449,11.02,10.5740740741,2.35205128205,0.640099503169
2.22219896317,7.4745,6.48432376099,7.614,9.61101902771,11.02,10.5381481481,2.33307692308,0.686241645269
2.28403282166,7.4745,6.48432376099,7.614,9.61101902771,11.02,10.5740740741,2.35205128205,0.728456796551
2.34625577927,7.4745,6.48457223511,7.614,9.60793003845,11.02,10.5740740741,2.35205128205,0.767726704721
2.39326691628,7.4745,6.48457223511,7.614,9.60638554382,10.9844444444,10.5381481481,2.35205128205,0.800124378961
2.42918682098,7.4745,6.48457223511,7.614,9.60453215027,11.02,10.5381481481,2.35205128205,0.846266521061
2.48910689354,7.4745,6.48482070923,7.614,9.59804527283,11.02,10.5381481481,2.33307692308,0.882591186118
2.53520298004,7.4745,6.48531765747,7.614,9.59217619324,11.02,10.5381481481,2.35205128205,0.935605562147
2.60283184052,7.4745,6.47190005493,7.614,9.55201933289,10.9844444444,10.5381481481,2.37102564103,0.975857218021
2.65784192085,7.4745,6.38841275024,7.614,9.28945524597,11.02,10.5740740741,2.35205128205,1.03083508946
2.72726678848,7.4745,6.16869950867,7.614,8.48755363464,11.02,10.5381481481,2.35205128205,1.062251016
